,Title,Date,State,Total Deaths,full place name
10280,Bandits kill 17 persons in Sokoto community,3/5/21,Sokoto,17,"Sabon Birni, Sokoto, Nigeria"
10281,Suspected gunmen stab woman to death in Ekiti,3/5/21,Ekiti,1,"Ado-Ekiti, Ekiti, Nigeria"
10282,Suspected herders kill two farmers in Ekiti,3/5/21,Ekiti,2,"Ikole, Ekiti, Nigeria"
10283,"One Dead As Policemen, Soldiers Clash In Abuja, Youths Burn Down Police Station",3/5/21,Federal Capital Territory,1,"Kuje, Federal Capital Territory, Nigeria"
10284,"Sat: Bandits Attack Kaduna Airport Staff Quarters, Abduct 12",3/6/21,Kaduna,0,"Igabi, Kaduna, Nigeria"
10285,"Boko Haram kills security personnel, two civilians in Borno",3/6/21,Borno,3,"Askira/U, Borno, Nigeria"
10286,Gunmen abduct two travellers in Osun,3/6/21,Osun,0,"Ayedire, Osun, Nigeria"
10287,LG polls: One killed in Delta community,3/6/21,Delta,1,"Ughelli North, Delta, Nigeria"
10288,"Four suspected bandits killed, many dislodged by military in Kaduna",3/6/21,Kaduna,4,"Chikun, Kaduna, Nigeria"
10289,Bandit killed by military in Kaduna,3/6/21,Kaduna,1,"Birnin-G, Kaduna, Nigeria"
10290,Panic in Imo as suspected ritualists kill two,3/6/21,Imo,2,"Ihitte/U, Imo, Nigeria"
10291,Gunmen kidnap businessman in Abia,3/6/21,Abia,0,"Osisioma Ngwa, Abia, Nigeria"
10292,Gunmen kidnap police officer in Benin,3/7/21,Edo,0,"Oredo Edo, Edo, Nigeria"
10293,Three soldiers feared killed as Boko Haram attacks military checkpoint,3/7/21,Borno,13,"Kaga, Borno, Nigeria"
10294,Eight injured as NURTW members clash in Akure,3/7/21,Ondo,0,"Akure North, Ondo, Nigeria"
10295,Vigilantes kill three suspected cultists in Rivers community,3/7/21,Rivers,3,"Emuoha, Rivers, Nigeria"
10296,"Suspected herdsmen kill Plateau businessman, injure two others",3/7/21,Plateau,1,"Riyom, Plateau, Nigeria"
10297,Special force kills six pirates in Akwa Ibom,3/4/21,Akwa Ibom,6,"Ibeno, Akwa Ibom, Nigeria"
10298,Suspected cultists shoot one in Delta community,3/8/21,Delta,0,"Sapele, Delta, Nigeria"
10299,Gunmen on motorcycles kill four farmers in Oyo community,3/8/21,Oyo,4,"Ibarapa North, Oyo, Nigeria"
10300,Bandits kidnap 30 in Rafi LG of Niger state,3/8/21,Niger,0,"Rafi, Niger, Nigeria"
10301,Gunmen abduct 19 in Niger community,3/8/21,Niger,0,"Wushishi, Niger, Nigeria"
10302,"Gunmen abduct year-old baby, 7 others in Taraba",3/8/21,Taraba,0,"Wukari, Taraba, Nigeria"
10303,Gunmen Kidnap Nigerian Minister’s Niece In Jos,3/8/21,Plateau,0,"Jos South, Plateau, Nigeria"
10304,"Special Forces eliminate 33 Boko Haram fighters, lose 2 soldiers in Chikingudu",3/8/21,Borno,35,"Marte, Borno, Nigeria"
10305,"Lagos socialite, 4 others kidnapped, N100m ransom demanded",3/8/21,Lagos,0,"Kosofe, Lagos, Nigeria"
10306,"Bandits storm Kainji National Park, kill one staff, injure four others",3/8/21,Niger,1,"Borgu, Niger, Nigeria"
10307,Bandits Abduct 25 Women In Fresh Attack On Katsina Communities,3/7/21,Katsina,0,"Sabuwa, Katsina, Nigeria"
10308,Bandits Abduct 30 Women In Fresh Attack On Katsina Communities,3/8/21,Katsina,0,"Sabuwa, Katsina, Nigeria"
10309,Two Feared Killed As Ondo NURTW Members Clash,3/9/21,Ondo,2,"Akure North, Ondo, Nigeria"
10310,"Police Kill Two, Angry Youths Burn Station In Imo",3/9/21,Imo,2,"Ihitte/U, Imo, Nigeria"
10311,"Gunmen abduct three sisters in Kogi, demand N100m ransom",3/9/21,Kogi,0,"Kotonkar, Kogi, Nigeria"
10312,"One Injured As Police, Shiites Clash In Abuja",3/9/21,Federal Capital Territory,0,"AbujaMun, Federal Capital Territory, Nigeria"
10313,"Katsina police in gun duel with bandits, kill one, recover AK-47",3/9/21,Katsina,1,"Safana, Katsina, Nigeria"
10314,"Vigilante Members Defend Niger Community, Kill 40 Bandits",3/9/21,Niger,43,"Lavun, Niger, Nigeria"
10315,Many killed in Ebonyi renewed communal crisis,3/9/21,Ebonyi,7,"Ohaukwu, Ebonyi, Nigeria"
10316,Gunmen kill 1 in Niger,3/9/21,Niger,1,"Shiroro, Niger, Nigeria"
10317,"Again, Bandits Kill One Person, Kidnap 18 in Niger",3/9/21,Niger,1,", Niger, Nigeria"
